"name"	"Publisher"	"Developer"	"ReleaseDate-US"	"Date Number"	"Month"	"Day "	"Year"	"minHoldDuration"	"maxHoldDuration"	"down_reset"	"down_mult"	"down_gravity"	"up-control_reset"	"up-control_gravity"	"up-fixed_reset"	"up-fixed_mult"	"up-fixed_gravity"	"ground_reset"	"ground_mult"	"ground_gravity"
"The Addams Family"	"Ocean Software"	"Ocean Software"	"01/01/92"	"01/01/92"	"1"	"1"	"1992"	"1"	"24"	"0.4322710271"	"-0.0474405088"	"0.1333958219"	"-4.0473684211"	"0.1473684211"	"-0.9498489996"	"0.1499093998"	"0.4497281993"	"0"	"0"	"0"
"Balloon Fight"	"Nintendo"	"Nintendo"	"08/16/86"	"08/16/86"	"8"	"16"	"1986"	"1"	"1"	"0.08"	"0.08"	"0.0125"	"None"	"None"	"-0.45"	"0"	"0.0125"	"0"	"0"	"0"
"Batman Return of the Joker"	"Sunsoft"	"Sunsoft"	"12/20/91"	"12/20/91"	"12"	"20"	"1991"	"4"	"8"	"0.0992622951"	"0.4008196721"	"0.4"	"-4.5"	"0.25"	"-3.9"	"0.2"	"0.4"	"0"	"0"	"0"
"Batman Returns"	"Konami"	"Konami"	"02/26/92"	"02/26/92"	"2"	"26"	"1992"	"1"	"1"	"-0.3"	"0"	"0.2"	"None"	"None"	"-4.1142857143"	"0"	"0.2142857143"	"0"	"0"	"0"
"Batman"	"Sunsoft"	"Sunsoft"	"01/01/93"	"01/01/93"	"1"	"1"	"1993"	"1"	"1"	"-0.1"	"0"	"0.1454545455"	"None"	"None"	"-3.3705882353"	"0"	"0.1176470588"	"0"	"0"	"0"
"Battletoads"	"Rare"	"Tradewest"	"06/01/91"	"06/01/91"	"6"	"1"	"1991"	"1"	"52"	"1.3914834076"	"0.5694664968"	"0.1475666879"	"-4.81875"	"0.15625"	"0.307126364"	"0.8642931362"	"0.2500057726"	"0"	"0"	"0"
"Castlevania III"	"Konami"	"Konami"	"09/01/90"	"09/01/90"	"9"	"1"	"1990"	"1"	"1"	"-0.6333333333"	"0"	"0.1777777778"	"None"	"None"	"-3.7923076923"	"0"	"0.2307692308"	"0"	"0"	"0"
"Castlevania II"	"Konami"	"Konami"	"12/01/88"	"12/01/88"	"12"	"1"	"1988"	"1"	"1"	"0.5666666667"	"0"	"0.1666666667"	"None"	"None"	"-3.9571428571"	"0"	"0.2142857143"	"0"	"0"	"0"
"Castlevania"	"Konami"	"Konami"	"05/01/87"	"05/01/87"	"5"	"1"	"1987"	"1"	"1"	"-0.7"	"0"	"0.2"	"None"	"None"	"-4.2636363636"	"0"	"0.2727272727"	"0"	"0"	"0"
"Chip'n'Dale Rescue Rangers"	"Capcom"	"Capcom"	"06/01/90"	"06/01/90"	"6"	"1"	"1990"	"4"	"20"	"0.7008513647"	"0.0993892384"	"0.2999444762"	"-6.5666666667"	"0.3333333333"	"0.1"	"0.0324324324"	"0.9945945946"	"0"	"0"	"0"
"Clash at Demonhead"	"Vic Tokai"	"Vic Tokai"	"01/01/90"	"01/01/90"	"1"	"1"	"1990"	"4"	"4"	"0.35"	"0"	"0.1875"	"None"	"None"	"-5.7769230769"	"0"	"0.2923076923"	"0"	"0"	"0"
"Contra"	"Konami"	"Konami"	"02/20/87"	"02/20/87"	"2"	"20"	"1987"	"1"	"1"	"-0.35"	"0"	"0.15"	"None"	"None"	"-4.1"	"0"	"0.1375"	"0"	"0"	"0"
"Darkwing Duck"	"Capcom"	"Capcom"	"06/01/92"	"06/01/92"	"6"	"1"	"1992"	"1"	"20"	"0.3277225319"	"-0.2272654337"	"0.2572734566"	"-4.85"	"0.25"	"0.1"	"0"	"0"	"0"	"0"	"0"
"Donkey Kong Jr. Math"	"Nintendo"	"Nintendo"	"10/18/85"	"10/18/85"	"10"	"18"	"1985"	"1"	"1"	"-0.1"	"0"	"0.02"	"None"	"None"	"-1.1"	"0"	"0.04"	"0"	"0"	"0"
"Double Dragon II"	"Acclaim"	"Technos Japan"	"01/01/90"	"01/01/90"	"1"	"1"	"1990"	"1"	"1"	"-0.0473684211"	"0"	"0.1473684211"	"None"	"None"	"-8.9"	"0"	"0.5176470588"	"0"	"0"	"0"
"Double Dragon III"	"Acclaim"	"Technos Japan"	"02/01/91"	"02/01/91"	"2"	"1"	"1991"	"1"	"1"	"-0.1"	"0"	"0.2"	"None"	"None"	"-8.9"	"0"	"0.5176470588"	"0"	"0"	"0"
"Double Dragon"	"Tradewest"	"Technos Japan"	"06/01/88"	"06/01/88"	"6"	"1"	"1988"	"1"	"1"	"-0.1"	"0"	"0.3571428571"	"None"	"None"	"-5.9"	"0"	"0.4461538462"	"0"	"0"	"0"
"Duck Tales"	"Capcom"	"Capcom"	"09/01/89"	"09/01/89"	"9"	"1"	"1989"	"2"	"24"	"0.5001643138"	"1.3990141174"	"0.2"	"-4.7"	"0.2"	"0.0998216019"	"0.0666666667"	"0.1342253236"	"0"	"0"	"0"
"Ghosts'n'Goblins"	"Capcom"	"Capcom"	"11/01/86"	"11/01/86"	"11"	"1"	"1986"	"2"	"4"	"0"	"0"	"0.1021"	"-3.5"	"0.1021"	"-2.5821"	"0"	"0.1021"	"0"	"0"	"0"
"Adventure Island III"	"Hudson Soft"	"Hudson Soft"	"09/01/92"	"09/01/92"	"9"	"1"	"1992"	"1"	"20"	"0.2592694936"	"-0.0264772761"	"0.2133964635"	"-4.98"	"0.18"	"0.2671061602"	"0.1668864134"	"0.0006592403"	"0"	"0"	"0"
"Adventure Island II"	"Hudson Soft"	"Hudson Soft"	"02/01/91"	"02/01/91"	"2"	"1"	"1991"	"1"	"18"	"0.5000868451"	"0.8498045986"	"0.2"	"-4.7"	"0.12"	"-1.0999514369"	"0.0501214078"	"0.2002428157"	"0"	"0"	"0"
"Adventure Island"	"Hudson Soft"	"Hudson Soft"	"09/01/88"	"09/01/88"	"9"	"1"	"1988"	"1"	"1"	"-0.15"	"0"	"0.25"	"None"	"None"	"-4.1727272727"	"0"	"0.2727272727"	"0"	"0"	"0"
"Ice Climber"	"Nintendo"	"Nintendo"	"10/18/85"	"10/18/85"	"10"	"18"	"1985"	"1"	"1"	"-0.0304347826"	"0"	"0.1304347826"	"None"	"None"	"-3.525"	"0"	"0.125"	"0"	"0"	"0"
"Kid Icarus"	"Nintendo"	"Nintendo"	"07/01/87"	"07/01/87"	"7"	"1"	"1987"	"1"	"24"	"-0.1222222222"	"0"	"0.1111111111"	"-3.3"	"0.1"	"-0.4999715381"	"0.8000939242"	"0.2000626161"	"0"	"0"	"0"
"Kirby's Adventure"	"Nintendo"	"Nintendo"	"05/01/93"	"05/01/93"	"5"	"1"	"1993"	"1"	"24"	"0.0618945815"	"0.8381308695"	"0.1047619048"	"-3.4"	"0.125"	"-0.8994878919"	"-0.088813021"	"0.2664390631"	"0"	"0"	"0"
"Mario Bros"	"Nintendo"	"Nintendo"	"06/20/86"	"06/20/86"	"6"	"20"	"1986"	"1"	"1"	"-0.25"	"0"	"0.15"	"None"	"None"	"-4.275"	"0"	"0.175"	"0"	"0"	"0"
"Mario is Missing"	"Nintendo"	"Radical Entertainment"	"07/01/93"	"07/01/93"	"7"	"1"	"1993"	"1"	"1"	"0.3"	"-0.000000000000000444"	"0.3"	"None"	"None"	"-5.66"	"0"	"0.28"	"0"	"0"	"0"
"Mario's Time Machine"	"Nintendo"	"Radical Entertainment"	"06/23/94"	"06/23/94"	"6"	"23"	"1994"	"1"	"1"	"0.1"	"0"	"0.2222222222"	"None"	"None"	"-5.1923076923"	"0"	"0.2153846154"	"0"	"0"	"0"
"Mega Man 2"	"Capcom"	"Capcom"	"06/11/89"	"06/11/89"	"6"	"11"	"1989"	"1"	"12"	"-0.1"	"0"	"0.2461538462"	"-4.5"	"0.2"	"-2.6"	"-0.25"	"0.25"	"0"	"0"	"0"
"Mega Man 3"	"Capcom"	"Capcom"	"11/01/90"	"11/01/90"	"11"	"1"	"1990"	"1"	"20"	"0.5667424214"	"0.1102778091"	"0.2222222222"	"-4.6777777778"	"0.2222222222"	"0.1"	"0"	"0"	"0"	"0"	"0"
"Mega Man 4"	"Capcom"	"Capcom"	"01/15/92"	"01/15/92"	"1"	"15"	"1992"	"1"	"20"	"0.15"	"0"	"0.25"	"-4.8333333333"	"0.2333333333"	"-0.0995923137"	"0.7502038432"	"1.6995923137"	"0"	"0"	"0"
"Mega Man 5"	"Capcom"	"Capcom"	"12/31/92"	"12/31/92"	"12"	"31"	"1992"	"1"	"20"	"0.26"	"0"	"0.24"	"-4.82"	"0.24"	"-0.0995820578"	"0.7002089711"	"1.6004179422"	"0"	"0"	"0"
"Mega Man 6"	"Nintendo"	"Capcom"	"03/15/94"	"03/15/94"	"3"	"15"	"1994"	"1"	"22"	"0.9"	"0.00000000000000799"	"0.2307692308"	"-4.7666666667"	"0.24"	"0.5"	"0"	"0"	"0"	"0"	"0"
"Mega Man"	"Capcom"	"Capcom"	"12/17/87"	"12/17/87"	"12"	"17"	"1987"	"1"	"12"	"-0.1"	"0"	"0.2461538462"	"-4.5"	"0.2"	"-2.6"	"-0.25"	"0.25"	"0"	"0"	"0"
"Metroid"	"Nintendo"	"Nintendo"	"08/01/87"	"08/01/87"	"8"	"1"	"1987"	"10"	"44"	"0.2638511897"	"-0.0736939902"	"0.0909090909"	"-3.9974358974"	"0.0974358974"	"0.1"	"0"	"0"	"0"	"0"	"0"
"Mighty Bomb Jack"	"Tecmo"	"Tecmo"	"07/01/87"	"07/01/87"	"7"	"1"	"1987"	"1"	"1"	"-0.1"	"0.00000000000085"	"0.0689655172"	"None"	"None"	"-4.15"	"0"	"0.09"	"0"	"0"	"0"
"Ninja Gaiden III"	"Tecmo"	"Tecmo"	"05/01/90"	"05/01/90"	"5"	"1"	"1990"	"1"	"1"	"-0.2157894737"	"0"	"0.1157894737"	"None"	"None"	"-3.2111111111"	"0"	"0.1111111111"	"0"	"0"	"0"
"Ninja Gaiden II"	"Tecmo"	"Tecmo"	"08/01/91"	"08/01/91"	"8"	"1"	"1991"	"1"	"1"	"-0.1"	"0"	"0.2"	"None"	"None"	"-4.85"	"0"	"0.25"	"0"	"0"	"0"
"Ninja Gaiden"	"Tecmo"	"Tecmo"	"03/01/89"	"03/01/89"	"3"	"1"	"1989"	"1"	"1"	"-0.1105263158"	"0"	"0.2105263158"	"None"	"None"	"-4.8777777778"	"0"	"0.2222222222"	"0"	"0"	"0"
"River City Ransom"	"Technos Japan"	"Technos Japan"	"04/25/89"	"04/25/89"	"4"	"25"	"1989"	"1"	"1"	"-0.35"	"0"	"0.225"	"None"	"None"	"-4.4066666667"	"0"	"0.2533333333"	"0"	"0"	"0"
"Super C"	"Konami"	"Konami"	"04/01/90"	"04/01/90"	"4"	"1"	"1990"	"1"	"1"	"-0.32"	"0"	"0.14"	"None"	"None"	"-4.2571428571"	"0"	"0.1571428571"	"0"	"0"	"0"
"SMB 2 - Luigi"	"Nintendo"	"Nintendo"	"10/09/88"	"10/09/88"	"10"	"9"	"1988"	"2"	"68"	"-0.0111271036"	"0.5259286697"	"0.111112287"	"-2.4"	"0.0555555556"	"0.100666143"	"0.6940588697"	"0.0821766092"	"0"	"0"	"0"
"SMB 2 - Mario"	"Nintendo"	"Nintendo"	"10/09/88"	"10/09/88"	"10"	"9"	"1988"	"1"	"30"	"2.1475943505"	"0.2508373255"	"0.1251794269"	"-4.9"	"0.2428571429"	"0.8198759645"	"1.0401653807"	"0.3601102538"	"0"	"0"	"0"
"SMB 2 - Peach"	"Nintendo"	"Nintendo"	"10/09/88"	"10/09/88"	"10"	"9"	"1988"	"1"	"88"	"1.5002605818"	"0.3996649662"	"0.2"	"-1.6513513514"	"0.0324324324"	"0.0999507322"	"0.9001612401"	"0.4000716623"	"0"	"0"	"0"
"SMB 2 - Toad"	"Nintendo"	"Nintendo"	"10/09/88"	"10/09/88"	"10"	"9"	"1988"	"1"	"36"	"1.2998350899"	"0.5336081836"	"0.2"	"-4.5727272727"	"0.2363636364"	"0.9857711077"	"0.9714285714"	"0.3856006418"	"0"	"0"	"0"
"SMB 3"	"Nintendo"	"Nintendo"	"02/12/90"	"02/12/90"	"2"	"12"	"1990"	"1"	"24"	"1.0660978115"	"0.1648788362"	"0.1668291967"	"-3.3352941177"	"0.0588235294"	"0.296587691"	"1.1980501092"	"0.3996750182"	"0"	"0"	"0"
"SMB DuckHunt"	"Nintendo"	"Nintendo"	"10/31/85"	"10/31/85"	"10"	"31"	"1985"	"1"	"32"	"1.5375"	"0"	"0.1875"	"-4.1"	"0.1333333333"	"-0.099832279"	"0.8499673876"	"0.3998695503"	"0"	"0"	"0"
"SMB"	"Nintendo"	"Nintendo"	"10/31/85"	"10/31/85"	"10"	"31"	"1985"	"1"	"32"	"1.5375"	"0"	"0.1875"	"-4.1"	"0.1333333333"	"-0.099832279"	"0.8499673876"	"0.3998695503"	"0"	"0"	"0"
"Adventure Island IV"	"Hudson Soft"	"Hudson Soft"	"06/24/94"	"06/24/94"	"6"	"24"	"1994"	"1"	"20"	"0.3"	"0"	"0.2"	"-4.2666666667"	"0.1666666667"	"0.1"	"0.05"	"0"	"0"	"0"	"0"
"TMNT 2"	"Ultra Games"	"Konami"	"12/01/90"	"12/01/90"	"12"	"1"	"1990"	"1"	"1"	"-0.14"	"0"	"0.24"	"None"	"None"	"-6.9"	"0"	"0.25"	"0"	"0"	"0"
"TMNT"	"Konami"	"Konami"	"06/01/89"	"06/01/89"	"6"	"1"	"1989"	"1"	"18"	"-0.3769230769"	"0"	"0.0923076923"	"-5.9"	"0.527"	"-2.0088"	"-0.1544"	"0.054545454"	"0"	"0"	"0"
"Zelda 2"	"Nintendo"	"Nintendo"	"12/01/88"	"12/01/88"	"12"	"1"	"1988"	"1"	"16"	"-0.1857142857"	"-0.0000000000000382"	"0.2571428571"	"-3.4636363636"	"0.1818181818"	"-0.3313577683"	"0.4231275527"	"0.2070704965"	"0"	"0"	"0"